"Value","Name","Quantity"
"100 nF","CAP_1206","2"
"22 pF","CAP_1206","2"
"","1N5819HW","6"
"3mm Round","LED-3R_Blue","6"
"3mm Round","LED-3R_Green","7"
"UART TO PC","HDRF-1x4","1"
"","OSTTG035100B","8"
"","OSTTG025100B","6"
"","FC-6P Connector","1"
"","HDRF-1x4","1"
"","B4B-PH-K-S","1"
"","CEM-1205C","1"
"","BC847A","6"
"10 kOhm","RES_1206","3"
"2 kOhm","RES500","7"
"60 Ohm","RES_1206","1"
"1 kOhm","RES_1206","6"
"4.7 kOhm","RES_1206","6"
"330 Ohm","RES_1206","6"
"12 kOhm","RES_1206","6"
"24V to 5V","Step-Down-Converter","1"
"","ATMEGA168_PDIP","1"
"","LiquidCrystal LCD","1"
"","PC817","13"
"16MHz","ECS-36-18-1","1"
